id,call_to_action,action_summary,jobs_careers,career_summary,basis_url,review_basis
avigad,not_recorded,,not_recorded,,https://arxiv.org/abs/2603.03684,No topic coding captured in current review; this is not evidence of absence.
bessis,recorded,"Urges mathematicians to speak now, anticipate disruption, and coordinate.",recorded,"Discusses hiring incentives, professional status, and the viability of research mathematics as a profession.",https://davidbessis.substack.com/p/the-fall-of-the-theorem-economy,"Primary source verified; discusses jobs, hiring, and professional viability."
carroll,not_recorded,,not_recorded,,https://preposterousuniverse.com/podcast/2025/11/24/336-anil-ananthaswamy-on-the-mathematics-of-neural-nets-and-ai/,No topic coding captured in current review; this is not evidence of absence.
cepelewicz,not_recorded,,not_recorded,,https://www.quantamagazine.org/mathematical-beauty-truth-and-proof-in-the-age-of-ai-20250430/,No topic coding captured in current review; this is not evidence of absence.
economist,not_recorded,,not_recorded,,https://www.economist.com/graphic-detail/2026/08/18/does-ai-stop-children-from-learning,No topic coding captured in current review; this is not evidence of absence.
gowers,not_recorded,,not_recorded,,https://gowers.wordpress.com/2025/,No topic coding captured in current review; this is not evidence of absence.
hossenfelder,not_recorded,,not_recorded,,https://backreaction.blogspot.com/2026/02/the-ai-maths-revolution-has-begun.html,No topic coding captured in current review; this is not evidence of absence.
jaimungal,not_recorded,,not_recorded,,https://podscripts.co/podcasts/theories-of-everything-with-curt-jaimungal/the-ai-math-that-left-number-theorists-speechless,No topic coding captured in current review; this is not evidence of absence.
keating,not_recorded,,not_recorded,,https://podcasts.apple.com/us/podcast/can-ai-help-us-solve-the-hardest-problems-in/id1169885840?i=1000743242546,No topic coding captured in current review; this is not evidence of absence.
lanier,not_recorded,,not_recorded,,https://www.thefiscaltimes.com/Articles/2014/04/01/Facebook-and-Extremely-Creepy-Possibilities-Virtual-Reality,No topic coding captured in current review; this is not evidence of absence.
lecun,not_recorded,,not_recorded,,https://www.brown.edu/news/2026-04-01/yann-lecun-artificial-intelligence-pioneer,No topic coding captured in current review; this is not evidence of absence.
leiden,recorded,Sets collective governance and policy proposals for AI in mathematics.,not_recorded,,https://leidendeclaration.ai/,Existing review notes.
marcus,not_recorded,,not_recorded,,https://www.worldsciencefestival.com/videos/the-uncomfortable-truth-about-ai-reasoning/,No topic coding captured in current review; this is not evidence of absence.
mathandai,not_recorded,,not_recorded,,https://mathandai.org/,Not yet coded in the current review.
riehl,recorded,Proposes testing AI systems for meaningful mathematical contribution.,not_recorded,,https://simons.berkeley.edu/talks/emily-riehl-johns-hopkins-university-2025-04-10,Existing review notes.
snakeoil,not_recorded,,not_recorded,,https://www.aisnakeoil.com/,No topic coding captured in current review; this is not evidence of absence.
stephenwolfram,recorded,Advocates combining generative AI with exact symbolic and numerical computation.,not_recorded,,https://www.wolfram.com/artificial-intelligence/,"Existing review notes; primary product page verified, but its navigation links are not a source-level employment claim."
strogatz,not_recorded,,not_recorded,,https://www.quantamagazine.org/how-is-ai-changing-the-science-of-prediction-20241107/,No topic coding captured in current review; this is not evidence of absence.
su,not_recorded,,not_recorded,,https://francissu.substack.com/p/the-enduring-value-of-math-in-an,No topic coding captured in current review; this is not evidence of absence.
tao,recorded,Recommends AI-use disclosures and new workflows and infrastructure for mathematics.,recorded,Says proof abundance may disrupt hiring and promotion criteria built for proof scarcity.,https://arxiv.org/abs/2608.16753,Primary arXiv full text verified; distinguishes research practice from explicit hiring and promotion consequences.
tsimerman,recorded,"Calls for more independent AI-safety organizations, regulation, and government evaluations.",recorded,Describes a move from academia to an AI lab and says young mathematics Ph.D. trainees face a turbulent skills transition.,https://www.theatlantic.com/technology/2026/07/jacob-tsimerman-math-fields-medal-openai/688120/,"Primary interview/report text verified; explicitly addresses career choice, academic employment, and trainees."
weinreich,recorded,Advocates total opposition to AI use in mathematics and coordinated institutional action.,not_recorded,,https://arxiv.org/abs/2608.02859,"Primary arXiv abstract verified; institutional proposals are explicit, but no specific employment or career claim was captured."
williamson,not_recorded,,not_recorded,,https://www.maths.usyd.edu.au/u/geordie/,No topic coding captured in current review; this is not evidence of absence.
wolfram,recorded,Advocates curriculum reform centered on computational thinking for the AI age.,not_recorded,,https://blogs.lse.ac.uk/maths/2025/06/17/fixing-education-for-the-ai-age-conrad-wolfram/,Existing review notes; direct page text was inaccessible during bounded verification.
yahoo,not_recorded,,not_recorded,,https://www.yahoo.com/news/science/articles/results-middle-high-school-students-120300584.html,No topic coding captured in current review; this is not evidence of absence.
